BATCH 0: 施博威(id=862) | 顾易(id=299) | 钱安琪(id=290) | 钱蒙楠(id=305) | 相征(id=264) | 徐佳文(id=575) | 汤佳明(id=577) | 田野(id=300) | 王逸飞(id=968) | 张沁丹(id=274)
BATCH 20: 丁臻滢(id=271) | 卓群(id=321) | 李炜鹏(id=550) | 明家歆(id=171) | 周默涵(id=174) | 郭珍艳(id=2572) | 刘秫呈(id=988) | 陈政宇(id=3285) | 高雨晨(id=712) | 蒋倩如(id=281)
BATCH 21: 田梦(id=894) | 赵禹钧(id=23) | 张铎(id=1399) | 殷浩伦(id=27) | 倪晔(id=292) | 孙欣业(id=714) | 白一博(id=570) | 曾阵(id=983) | 邵玎(id=1607) | 冒海飞(id=1903)
BATCH 22: 黄浦申(id=905) | 李佳音(id=1012) | 陈壬权(id=2639) | 白瀚祥(id=427) | 张玮伦(id=507) | 申霓(id=275) | 王玙璠(id=1084) | 潘龙(id=1188) | 徐丽东(id=1665) | 杨浩然(id=3132)
BATCH 23: 罗玉玲(id=307) | 赵嘉艳(id=771) | 毛寅东(id=314) | 叶锐(id=3174) | 唐超(id=1091) | 张毅凯(id=859) | 刘政(id=296) | 许放星(id=676) | 尉梦飞(id=2643) | 姜呈洋(id=782)
BATCH 24: 诸葛北辰(id=666) | 赵霄汉(id=855) | 王世鑫(id=975) | 尤宣程(id=1918) | 于佳鑫(id=278) | 钟子崴(id=1080) | 连江维(id=1088) | 刘钊(id=303) | 江东旭(id=750) | 冯鑫垚(id=763)
BATCH 25: 张嘉豪(id=2573) | 朱芾(id=19) | 曹珺(id=479) | 蔡忻如(id=97) | 恩妤(id=229) | 武阳坤(id=1541) | 何严浩(id=3366) | 暴晓萱(id=685) | 陈恬(id=511) | 沈恬(id=907)
BATCH 26: 孙博(id=967) | 陈沁(id=43) | 梁宵默(id=985) | 樊哲(id=2282) | 梁广(id=2227) | 黄思惟(id=2950) | 孙礼杰(id=777) | 左溢(id=958) | 王壹(id=698) | 张艺(id=987)
BATCH 27: 刘一谷(id=105) | 王帅(id=602) | 郝晓辉(id=178) | 蛋蛋(id=221) | 刘靖(id=1810) | 崔承宇(id=226) | 徐均朔(id=211) | 韩佳旭(id=970) | 陈棋尔(id=772) | 曹小欠儿(id=834)
BATCH 28: 毋子玥(id=1262) | 何亮辰(id=31) | 湛嘉丽(id=286) | 陈姝月(id=1126) | 高天鹤(id=1404) | 廖城志(id=971) | 安吉儿(id=3296) | 林润欣(id=21) | 亓振源(id=2905) | 黄玟宇(id=3247)
BATCH 29: 郑棋元(id=17) | 赵超凡(id=35) | 姜均(id=210) | 郭俊宇(id=1087) | 王智威(id=1236) | 胡超政(id=24) | 王峙儒(id=41) | 徐奕然(id=222) | 饶恒宇(id=316) | 文振宇(id=982)
BATCH 30: 朱佳艳(id=1584) | 宗雪健(id=1796) | 孙金瀚(id=217) | 覃一凡(id=1190) | 张弋(id=1898) | 郭禹良(id=1034) | 陈卓(id=3117) | 马海生(id=1189) | 王炳(id=2165) | 王笑语(id=2416)
BATCH 31: 孙义清(id=3384) | 徐瑶(id=96) | 申帅(id=1754) | 郭之阳(id=3234) | 夏振凯(id=95) | 汤邵文(id=2007) | 冯镝霏(id=2622) | 黄圣淇(id=3201) | 赵凡嘉(id=1210) | 金圣权(id=16)
BATCH 32: 丁伟(id=242) | 林子兴(id=3405) | 丁宇佳(id=755) | 高旭(id=1089) | 欧阳乔子(id=2110) | 王靖棋(id=1508) | 陈韬(id=1627) | 王常凯(id=2180) | 李子健(id=1035) | 韩烨(id=2417)
BATCH 33: 田祥晔(id=2871) | 葛洧吟(id=578) | 叶筱玮(id=3267) | 刘晓(id=291) | 张旭辰(id=301) | 王子浠(id=282) | 张云轩(id=295) | 王明怡(id=626) | 刘晓燕(id=1768) | 邓茹月(id=3208)
BATCH 34: 李金哲(id=1540) | 庞东轩(id=1779) | 白子涵(id=2896) | 韩冰儿(id=3166) | 于世源(id=3490) | 毛珏懿(id=322) | 井彦乔(id=901) | 庞盛之(id=22) | 翟李朔天(id=3207) | 李乐尧(id=491)
BATCH 35: 丁辉(id=496) | 杜舟(id=978) | 王嘉(id=1506) | 刘羿含(id=2012) | 陈檀雅(id=2097) | 程晨(id=3185) | 李炜铃(id=428) | 张家祺(id=2537) | 刘凡滔(id=3242) | 米晨晨(id=620)
BATCH 36: 帕赛(id=757) | 赵晏伯(id=2094) | 赵穆宸(id=102) | 张腾(id=607) | 杨映宇(id=753) | 郭炳琨(id=1730) | 江柏成(id=2229) | 喻越越(id=384) | 卞佳平(id=1539) | 蒲铖(id=3239)
BATCH 37: 娄睿(id=1608) | 冯文彦(id=966) | 张弌铖(id=1721) | 刘爽(id=1722) | 张功长(id=1723) | 罗欢(id=1724) | 李智浩(id=1725) | 陈育新(id=1727) | 吕京(id=1728) | 徐蜜聪(id=1863)
BATCH 38: 李忻润(id=40) | 黄雨蝶(id=1167) | 王富有(id=668) | 乐巍(id=1542) | 范可妮(id=2364) | 栾靖宇(id=3232) | 林钇欣(id=3570) | 孙葛川野(id=177) | 云孟和(id=759) | 孙叶雨(id=774)
BATCH 39: 付翔(id=1208) | 李俊杰(id=1691) | 董志勇(id=1408) | 琚茂林(id=3177) | 李泽晨(id=784) | 潘蕾蕾(id=1029) | 王晶琬(id=2082) | 鲁芳岐(id=1031) | 赵嘉豪(id=1659) | 刘勃汐(id=1083)
BATCH 40: 周惠怡(id=715) | 杜皓云(id=974) | 徐郑凯伊(id=1318) | 唐子晗(id=3209) | 闫乐湟(id=1125) | 张淼龙(id=1237) | 徐梦(id=509) | 华英杰(id=2440) | 张雨桐(id=3246) | 吴嘉怡(id=3475)
BATCH 41: 吕润桐(id=762) | 席同歌(id=1706) | 方书剑(id=425) | 鞠红川(id=1826) | 马添龙(id=36) | 周孟涛(id=38) | 张鼎棋(id=969) | 刘君豪(id=2926) | 邹子月(id=323) | 李怡垚(id=707)
BATCH 42: 刘泽星(id=1176) | 杨闫乐(id=2216) | 姜彬(id=265) | 管重昊(id=574) | 黎宛曈(id=835) | 陈蕴(id=3238) | 李宸希(id=37) | 陈佳艺(id=3567) | 李浩楠(id=353) | 杨博皓(id=972)
BATCH 43: 黄湙云(id=2023) | 郑婉霞(id=2284) | 罗明晖(id=2539) | 李伯尧(id=3393) | 贾景伊(id=580) | 张力升(id=2571) | 杨悦(id=3621) | 张芷妍(id=2462) | 刘宇希(id=1710) | 梁庆海(id=3073)
BATCH 44: 王喆(id=3604) | 黄天宇(id=104) | 李昊阳(id=623) | 易群(id=906) | 苗梦初(id=1173) | 吴凯泽(id=2220) | 王书琦(id=192) | 代玮(id=1257) | 郭泽学(id=1921) | 申昊川(id=3072)
BATCH 45: 汤俊军(id=991) | 于洋(id=1577) | 浦弘斐(id=2138) | 文亮棋(id=3484) | 周钰斐(id=228) | 宁馨儿(id=1030) | 张艺(id=309) | 赵子萌(id=581) | 陆艺火(id=606) | 王国栋(id=917)
BATCH 46: 付世刚(id=1174) | 郭美冉(id=3559) | 张天玮(id=2705) | 张梦嫣(id=220) | 王雅馨(id=3210) | 梁汉(id=604) | 杨君军(id=747) | 廖若彤(id=3385) | 陈梓煊(id=992) | 何若水(id=1327)
BATCH 47: 安婧祎(id=2218) | 刘昱含(id=3156) | 白举纲(id=505) | 钱海睿(id=1620) | 尚一航(id=1700) | 胡志勋(id=3294) | 龙一豪(id=3754) | 瞿艺(id=263) | 曹屿辰(id=1844) | 林世杰(id=1511)
BATCH 48: 李金阳(id=3053) | 温雅祺(id=551) | 王皓(id=990) | 刘彬濠(id=1973) | 张飞扬(id=2783) | 蒋依敏(id=510) | 项裕(id=1573) | 刘放(id=1694) | 龚泽镪(id=3298) | 阿拉丁(id=346)
BATCH 49: 范金锴(id=1587) | 杨磊(id=1867) | 张诗漫(id=2017) | 王佑名(id=2283) | 高崇(id=3572) | 马啸(id=3596) | 杨济连(id=233) | 贾凡(id=469) | 缪卓凡(id=573) | 张泽浩(id=3302)
